,X_coord,Y_coord,Ref_wind,Num_tot_turb,ID,Turb_num
0,0,0,7.4797616,2,2_turbine_240_degrees_279.0_meters,0
1,241.6210877,139.5,7.57623148,2,2_turbine_240_degrees_279.0_meters,1
2,0,0,7.47360182,2,2_turbine_241_degrees_279.0_meters,0
3,244.0188983,135.261884,7.56752729,2,2_turbine_241_degrees_279.0_meters,1
4,0,0,7.46784782,2,2_turbine_242_degrees_279.0_meters,0
5,246.3423784,130.982566,7.55792332,2,2_turbine_242_degrees_279.0_meters,1
6,0,0,7.49173546,2,2_turbine_243_degrees_279.0_meters,0
7,248.5908202,126.6633494,7.51761532,2,2_turbine_243_degrees_279.0_meters,1
8,0,0,7.48339224,2,2_turbine_244_degrees_279.0_meters,0
9,250.7635389,122.30555,7.50035381,2,2_turbine_244_degrees_279.0_meters,1
10,0,0,7.44775724,2,2_turbine_245_degrees_279.0_meters,0
11,252.8598726,117.910495,7.49375725,2,2_turbine_245_degrees_279.0_meters,1
12,0,0,7.43949652,2,2_turbine_246_degrees_279.0_meters,0
13,254.8791827,113.4795234,7.45918131,2,2_turbine_246_degrees_279.0_meters,1
14,0,0,7.4412384,2,2_turbine_247_degrees_279.0_meters,0
15,256.8208541,109.0139848,7.42024326,2,2_turbine_247_degrees_279.0_meters,1
16,0,0,7.44484901,2,2_turbine_248_degrees_279.0_meters,0
17,258.6842954,104.5152396,7.36896563,2,2_turbine_248_degrees_279.0_meters,1
18,0,0,7.43987465,2,2_turbine_249_degrees_279.0_meters,0
19,260.468939,99.98465792,7.32154608,2,2_turbine_249_degrees_279.0_meters,1
20,0,0,7.43814945,2,2_turbine_250_degrees_279.0_meters,0
21,262.1742412,95.42361999,7.24805546,2,2_turbine_250_degrees_279.0_meters,1
22,0,0,7.4262557,2,2_turbine_251_degrees_279.0_meters,0
23,263.7996826,90.83351509,7.1765461,2,2_turbine_251_degrees_279.0_meters,1
24,0,0,7.42346907,2,2_turbine_252_degrees_279.0_meters,0
25,265.344768,86.21574143,7.08723116,2,2_turbine_252_degrees_279.0_meters,1
26,0,0,7.41898584,2,2_turbine_253_degrees_279.0_meters,0
27,266.8090269,81.57170562,6.97298098,2,2_turbine_253_degrees_279.0_meters,1
28,0,0,7.40453577,2,2_turbine_254_degrees_279.0_meters,0
29,268.1920132,76.90282227,6.83376694,2,2_turbine_254_degrees_279.0_meters,1
30,0,0,7.39596319,2,2_turbine_255_degrees_279.0_meters,0
31,269.4933055,72.21051358,6.6922574,2,2_turbine_255_degrees_279.0_meters,1
32,0,0,7.39225912,2,2_turbine_256_degrees_279.0_meters,0
33,270.7125076,67.49620887,6.5718832,2,2_turbine_256_degrees_279.0_meters,1
34,0,0,7.38424873,2,2_turbine_257_degrees_279.0_meters,0
35,271.8492481,62.76134416,6.43158913,2,2_turbine_257_degrees_279.0_meters,1
36,0,0,7.37088966,2,2_turbine_258_degrees_279.0_meters,0
37,272.9031806,58.00736174,6.26610184,2,2_turbine_258_degrees_279.0_meters,1
38,0,0,7.37247229,2,2_turbine_259_degrees_279.0_meters,0
39,273.8739842,53.23570971,6.10291862,2,2_turbine_259_degrees_279.0_meters,1
40,0,0,7.37003851,2,2_turbine_260_degrees_279.0_meters,0
41,274.7613631,48.44784157,5.95289993,2,2_turbine_260_degrees_279.0_meters,1
42,0,0,7.3668952,2,2_turbine_261_degrees_279.0_meters,0
43,275.565047,43.64521575,5.78274298,2,2_turbine_261_degrees_279.0_meters,1
44,0,0,7.35494661,2,2_turbine_262_degrees_279.0_meters,0
45,276.2847912,38.82929517,5.60295486,2,2_turbine_262_degrees_279.0_meters,1
46,0,0,7.36029863,2,2_turbine_263_degrees_279.0_meters,0
47,276.9203763,34.00154681,5.44060326,2,2_turbine_263_degrees_279.0_meters,1
48,0,0,7.35583973,2,2_turbine_264_degrees_279.0_meters,0
49,277.4716088,29.16344125,5.29856777,2,2_turbine_264_degrees_279.0_meters,1
50,0,0,7.3424077,2,2_turbine_265_degrees_279.0_meters,0
51,277.9383208,24.31645223,5.1493535,2,2_turbine_265_degrees_279.0_meters,1
52,0,0,7.35067177,2,2_turbine_266_degrees_279.0_meters,0
53,278.32037,19.46205617,5.04404402,2,2_turbine_266_degrees_279.0_meters,1
54,0,0,7.36074686,2,2_turbine_267_degrees_279.0_meters,0
55,278.6176402,14.60173179,4.95401144,2,2_turbine_267_degrees_279.0_meters,1
56,0,0,7.34705114,2,2_turbine_268_degrees_279.0_meters,0
57,278.8300407,9.73695958,4.90302849,2,2_turbine_268_degrees_279.0_meters,1
58,0,0,7.3288846,2,2_turbine_269_degrees_279.0_meters,0
59,278.9575069,4.869221396,4.86123371,2,2_turbine_269_degrees_279.0_meters,1
60,0,0,7.3347826,2,2_turbine_270_degrees_279.0_meters,0
61,279,0,4.85890722,2,2_turbine_270_degrees_279.0_meters,1
62,0,0,7.3277998,2,2_turbine_271_degrees_279.0_meters,0
63,278.9575069,-4.869221396,4.87785816,2,2_turbine_271_degrees_279.0_meters,1
64,0,0,7.34435558,2,2_turbine_272_degrees_279.0_meters,0
65,278.8300407,-9.73695958,4.93991089,2,2_turbine_272_degrees_279.0_meters,1
66,0,0,7.35892916,2,2_turbine_273_degrees_279.0_meters,0
67,278.6176402,-14.60173179,5.00555325,2,2_turbine_273_degrees_279.0_meters,1
68,0,0,7.3489151,2,2_turbine_274_degrees_279.0_meters,0
69,278.32037,-19.46205617,5.11036873,2,2_turbine_274_degrees_279.0_meters,1
70,0,0,7.34092999,2,2_turbine_275_degrees_279.0_meters,0
71,277.9383208,-24.31645223,5.23679447,2,2_turbine_275_degrees_279.0_meters,1
72,0,0,7.35419559,2,2_turbine_276_degrees_279.0_meters,0
73,277.4716088,-29.16344125,5.40532064,2,2_turbine_276_degrees_279.0_meters,1
74,0,0,7.35912228,2,2_turbine_277_degrees_279.0_meters,0
75,276.9203763,-34.00154681,5.55358648,2,2_turbine_277_degrees_279.0_meters,1
76,0,0,7.3536377,2,2_turbine_278_degrees_279.0_meters,0
77,276.2847912,-38.82929517,5.72273874,2,2_turbine_278_degrees_279.0_meters,1
78,0,0,7.36508036,2,2_turbine_279_degrees_279.0_meters,0
79,275.565047,-43.64521575,5.90408993,2,2_turbine_279_degrees_279.0_meters,1
80,0,0,7.36825848,2,2_turbine_280_degrees_279.0_meters,0
81,274.7613631,-48.44784157,6.06695271,2,2_turbine_280_degrees_279.0_meters,1
82,0,0,7.37133121,2,2_turbine_281_degrees_279.0_meters,0
83,273.8739842,-53.23570971,6.21162605,2,2_turbine_281_degrees_279.0_meters,1
84,0,0,7.37004662,2,2_turbine_282_degrees_279.0_meters,0
85,272.9031806,-58.00736174,6.3670702,2,2_turbine_282_degrees_279.0_meters,1
86,0,0,7.38387299,2,2_turbine_283_degrees_279.0_meters,0
87,271.8492481,-62.76134416,6.52303553,2,2_turbine_283_degrees_279.0_meters,1
88,0,0,7.39239407,2,2_turbine_284_degrees_279.0_meters,0
89,270.7125076,-67.49620887,6.65165663,2,2_turbine_284_degrees_279.0_meters,1
90,0,0,7.39672184,2,2_turbine_285_degrees_279.0_meters,0
91,269.4933055,-72.21051358,6.78196383,2,2_turbine_285_degrees_279.0_meters,1
92,0,0,7.40507507,2,2_turbine_286_degrees_279.0_meters,0
93,268.1920132,-76.90282227,6.91084433,2,2_turbine_286_degrees_279.0_meters,1
94,0,0,7.41927767,2,2_turbine_287_degrees_279.0_meters,0
95,266.8090269,-81.57170562,7.03756952,2,2_turbine_287_degrees_279.0_meters,1
96,0,0,7.42316437,2,2_turbine_288_degrees_279.0_meters,0
97,265.344768,-86.21574143,7.14271927,2,2_turbine_288_degrees_279.0_meters,1
98,0,0,7.42681599,2,2_turbine_289_degrees_279.0_meters,0
99,263.7996826,-90.83351509,7.22257948,2,2_turbine_289_degrees_279.0_meters,1
100,0,0,7.43836498,2,2_turbine_290_degrees_279.0_meters,0
101,262.1742412,-95.42361999,7.2841897,2,2_turbine_290_degrees_279.0_meters,1
102,0,0,7.4401412,2,2_turbine_291_degrees_279.0_meters,0
103,260.468939,-99.98465792,7.35028028,2,2_turbine_291_degrees_279.0_meters,1
104,0,0,7.44527864,2,2_turbine_292_degrees_279.0_meters,0
105,258.6842954,-104.5152396,7.39223957,2,2_turbine_292_degrees_279.0_meters,1
106,0,0,7.44139576,2,2_turbine_293_degrees_279.0_meters,0
107,256.8208541,-109.0139848,7.4383316,2,2_turbine_293_degrees_279.0_meters,1
108,0,0,7.43931341,2,2_turbine_294_degrees_279.0_meters,0
109,254.8791827,-113.4795234,7.47310305,2,2_turbine_294_degrees_279.0_meters,1
110,0,0,7.44768333,2,2_turbine_295_degrees_279.0_meters,0
111,252.8598726,-117.910495,7.50485325,2,2_turbine_295_degrees_279.0_meters,1
112,0,0,7.48393726,2,2_turbine_296_degrees_279.0_meters,0
113,250.7635389,-122.30555,7.50941801,2,2_turbine_296_degrees_279.0_meters,1
114,0,0,7.4913702,2,2_turbine_297_degrees_279.0_meters,0
115,248.5908202,-126.6633494,7.5241313,2,2_turbine_297_degrees_279.0_meters,1
116,0,0,7.4674592,2,2_turbine_298_degrees_279.0_meters,0
117,246.3423784,-130.982566,7.56316662,2,2_turbine_298_degrees_279.0_meters,1
118,0,0,7.47330475,2,2_turbine_299_degrees_279.0_meters,0
119,244.0188983,-135.261884,7.57174969,2,2_turbine_299_degrees_279.0_meters,1
120,0,0,7.47974348,2,2_turbine_300_degrees_279.0_meters,0
121,241.6210877,-139.5,7.57912397,2,2_turbine_300_degrees_279.0_meters,1
122,0,0,7.50172806,2,2_turbine_240_degrees_372.0_meters,0
123,322.1614502,186,7.5707202,2,2_turbine_240_degrees_372.0_meters,1
124,0,0,7.4960103,2,2_turbine_241_degrees_372.0_meters,0
125,325.3585311,180.3491787,7.56806946,2,2_turbine_241_degrees_372.0_meters,1
126,0,0,7.49304342,2,2_turbine_242_degrees_372.0_meters,0
127,328.4565045,174.6434214,7.56435013,2,2_turbine_242_degrees_372.0_meters,1
128,0,0,7.49259138,2,2_turbine_243_degrees_372.0_meters,0
129,331.454427,168.8844659,7.54964066,2,2_turbine_243_degrees_372.0_meters,1
130,0,0,7.49497366,2,2_turbine_244_degrees_372.0_meters,0
131,334.3513852,163.0740666,7.55146646,2,2_turbine_244_degrees_372.0_meters,1
132,0,0,7.48398638,2,2_turbine_245_degrees_372.0_meters,0
133,337.1464968,157.2139934,7.55257273,2,2_turbine_245_degrees_372.0_meters,1
134,0,0,7.46859789,2,2_turbine_246_degrees_372.0_meters,0
135,339.8389102,151.3060312,7.53242159,2,2_turbine_246_degrees_372.0_meters,1
136,0,0,7.46926641,2,2_turbine_247_degrees_372.0_meters,0
137,342.4278055,145.3519798,7.52182484,2,2_turbine_247_degrees_372.0_meters,1
138,0,0,7.47089338,2,2_turbine_248_degrees_372.0_meters,0
139,344.9123939,139.3536528,7.51742935,2,2_turbine_248_degrees_372.0_meters,1
140,0,0,7.45903826,2,2_turbine_249_degrees_372.0_meters,0
141,347.2919187,133.3128772,7.49762249,2,2_turbine_249_degrees_372.0_meters,1
142,0,0,7.46089792,2,2_turbine_250_degrees_372.0_meters,0
143,349.5656549,127.2314933,7.47456598,2,2_turbine_250_degrees_372.0_meters,1
144,0,0,7.46438122,2,2_turbine_251_degrees_372.0_meters,0
145,351.7329101,121.1113535,7.45294428,2,2_turbine_251_degrees_372.0_meters,1
146,0,0,7.45792294,2,2_turbine_252_degrees_372.0_meters,0
147,353.7930241,114.9543219,7.41070938,2,2_turbine_252_degrees_372.0_meters,1
148,0,0,7.45086861,2,2_turbine_253_degrees_372.0_meters,0
149,355.7453692,108.7622742,7.3551383,2,2_turbine_253_degrees_372.0_meters,1
150,0,0,7.43507671,2,2_turbine_254_degrees_372.0_meters,0
151,357.5893509,102.5370964,7.27885008,2,2_turbine_254_degrees_372.0_meters,1
152,0,0,7.4376359,2,2_turbine_255_degrees_372.0_meters,0
153,359.3244074,96.28068478,7.190588,2,2_turbine_255_degrees_372.0_meters,1
154,0,0,7.45159626,2,2_turbine_256_degrees_372.0_meters,0
155,360.9500102,89.99494516,7.06501245,2,2_turbine_256_degrees_372.0_meters,1
156,0,0,7.40157032,2,2_turbine_257_degrees_372.0_meters,0
157,362.4656641,83.68179222,6.94959307,2,2_turbine_257_degrees_372.0_meters,1
158,0,0,7.40327883,2,2_turbine_258_degrees_372.0_meters,0
159,363.8709075,77.34314898,6.78093386,2,2_turbine_258_degrees_372.0_meters,1
160,0,0,7.39253664,2,2_turbine_259_degrees_372.0_meters,0
161,365.1653122,70.98094628,6.62719679,2,2_turbine_259_degrees_372.0_meters,1
162,0,0,7.39667606,2,2_turbine_260_degrees_372.0_meters,0
163,366.3484841,64.59712209,6.4727335,2,2_turbine_260_degrees_372.0_meters,1
164,0,0,7.38378143,2,2_turbine_261_degrees_372.0_meters,0
165,367.4200627,58.19362099,6.29732752,2,2_turbine_261_degrees_372.0_meters,1
166,0,0,7.38049603,2,2_turbine_262_degrees_372.0_meters,0
167,368.3797216,51.77239356,6.11142492,2,2_turbine_262_degrees_372.0_meters,1
168,0,0,7.38430691,2,2_turbine_263_degrees_372.0_meters,0
169,369.2271684,45.33539575,5.91495562,2,2_turbine_263_degrees_372.0_meters,1
170,0,0,7.38654804,2,2_turbine_264_degrees_372.0_meters,0
171,369.9621451,38.88458834,5.73328495,2,2_turbine_264_degrees_372.0_meters,1
172,0,0,7.3703866,2,2_turbine_265_degrees_372.0_meters,0
173,370.5844277,32.4219363,5.54358149,2,2_turbine_265_degrees_372.0_meters,1
174,0,0,7.37443304,2,2_turbine_266_degrees_372.0_meters,0
175,371.0938267,25.94940823,5.3738203,2,2_turbine_266_degrees_372.0_meters,1
176,0,0,7.36521864,2,2_turbine_267_degrees_372.0_meters,0
177,371.4901869,19.46897572,5.25016356,2,2_turbine_267_degrees_372.0_meters,1
178,0,0,7.37993765,2,2_turbine_268_degrees_372.0_meters,0
179,371.7733877,12.98261277,5.15568638,2,2_turbine_268_degrees_372.0_meters,1
180,0,0,7.36434269,2,2_turbine_269_degrees_372.0_meters,0
181,371.9433426,6.492295195,5.0888772,2,2_turbine_269_degrees_372.0_meters,1
182,0,0,7.36998081,2,2_turbine_270_degrees_372.0_meters,0
183,372,0,5.07858276,2,2_turbine_270_degrees_372.0_meters,1
184,0,0,7.36329556,2,2_turbine_271_degrees_372.0_meters,0
185,371.9433426,-6.492295195,5.11230373,2,2_turbine_271_degrees_372.0_meters,1
186,0,0,7.37802935,2,2_turbine_272_degrees_372.0_meters,0
187,371.7733877,-12.98261277,5.20459461,2,2_turbine_272_degrees_372.0_meters,1
188,0,0,7.36445379,2,2_turbine_273_degrees_372.0_meters,0
189,371.4901869,-19.46897572,5.32811213,2,2_turbine_273_degrees_372.0_meters,1
190,0,0,7.37409592,2,2_turbine_274_degrees_372.0_meters,0
191,371.0938267,-25.94940823,5.47299147,2,2_turbine_274_degrees_372.0_meters,1
192,0,0,7.36991596,2,2_turbine_275_degrees_372.0_meters,0
193,370.5844277,-32.4219363,5.65676117,2,2_turbine_275_degrees_372.0_meters,1
194,0,0,7.38587904,2,2_turbine_276_degrees_372.0_meters,0
195,369.9621451,-38.88458834,5.85257912,2,2_turbine_276_degrees_372.0_meters,1
196,0,0,7.38359594,2,2_turbine_277_degrees_372.0_meters,0
197,369.2271684,-45.33539575,6.03363276,2,2_turbine_277_degrees_372.0_meters,1
198,0,0,7.37984085,2,2_turbine_278_degrees_372.0_meters,0
199,368.3797216,-51.77239356,6.2237854,2,2_turbine_278_degrees_372.0_meters,1
200,0,0,7.38312531,2,2_turbine_279_degrees_372.0_meters,0
201,367.4200627,-58.19362099,6.40136003,2,2_turbine_279_degrees_372.0_meters,1
202,0,0,7.39642286,2,2_turbine_280_degrees_372.0_meters,0
203,366.3484841,-64.59712209,6.56498623,2,2_turbine_280_degrees_372.0_meters,1
204,0,0,7.3926115,2,2_turbine_281_degrees_372.0_meters,0
205,365.1653122,-70.98094628,6.70894623,2,2_turbine_281_degrees_372.0_meters,1
206,0,0,7.40381098,2,2_turbine_282_degrees_372.0_meters,0
207,363.8709075,-77.34314898,6.86603308,2,2_turbine_282_degrees_372.0_meters,1
208,0,0,7.40190172,2,2_turbine_283_degrees_372.0_meters,0
209,362.4656641,-83.68179222,7.0191021,2,2_turbine_283_degrees_372.0_meters,1
210,0,0,7.45233059,2,2_turbine_284_degrees_372.0_meters,0
211,360.9500102,-89.99494516,7.1219182,2,2_turbine_284_degrees_372.0_meters,1
212,0,0,7.43746424,2,2_turbine_285_degrees_372.0_meters,0
213,359.3244074,-96.28068478,7.23535395,2,2_turbine_285_degrees_372.0_meters,1
214,0,0,7.43497849,2,2_turbine_286_degrees_372.0_meters,0
215,357.5893509,-102.5370964,7.31272793,2,2_turbine_286_degrees_372.0_meters,1
216,0,0,7.45088148,2,2_turbine_287_degrees_372.0_meters,0
217,355.7453692,-108.7622742,7.38153553,2,2_turbine_287_degrees_372.0_meters,1
218,0,0,7.45803881,2,2_turbine_288_degrees_372.0_meters,0
219,353.7930241,-114.9543219,7.43135357,2,2_turbine_288_degrees_372.0_meters,1
220,0,0,7.46352291,2,2_turbine_289_degrees_372.0_meters,0
221,351.7329101,-121.1113535,7.46770287,2,2_turbine_289_degrees_372.0_meters,1
222,0,0,7.4604702,2,2_turbine_290_degrees_372.0_meters,0
223,349.5656549,-127.2314933,7.48571348,2,2_turbine_290_degrees_372.0_meters,1
224,0,0,7.45873117,2,2_turbine_291_degrees_372.0_meters,0
225,347.2919187,-133.3128772,7.50581408,2,2_turbine_291_degrees_372.0_meters,1
226,0,0,7.47042561,2,2_turbine_292_degrees_372.0_meters,0
227,344.9123939,-139.3536528,7.52361345,2,2_turbine_292_degrees_372.0_meters,1
228,0,0,7.46862125,2,2_turbine_293_degrees_372.0_meters,0
229,342.4278055,-145.3519798,7.52674675,2,2_turbine_293_degrees_372.0_meters,1
230,0,0,7.46796179,2,2_turbine_294_degrees_372.0_meters,0
